,zipcode,zipcode_freq
764,843,83
765,844,106
766,845,25
767,846,113
768,847,129
769,849,1
770,850,1226
771,851,431
772,852,1592
773,853,1249
774,855,67
775,856,268
776,857,723
777,859,44
778,860,147
779,861,2
780,862,1
781,863,172
782,864,210
783,865,20
784,870,124
785,871,588
786,873,25
787,874,83
788,875,187
789,877,36
790,878,7
791,879,7
792,880,160
793,881,56
794,882,120
795,883,59
796,884,9
797,890,950
798,891,2119
799,892,1
800,893,11
801,894,350
802,895,338
803,897,85
804,898,86
805,900,2233
806,902,1130
807,903,115
808,904,131
809,905,200
810,906,696
811,907,664
812,908,520
813,910,318
814,911,172
815,912,250
816,913,1483
817,914,307
818,915,133
819,916,264
820,917,1869
821,918,81
822,919,688
823,920,1326
824,921,1658
825,922,728
826,923,1013
827,924,137
828,925,1402
829,926,1526
830,927,334
831,928,1197
832,929,1
833,930,669
834,931,192
835,932,461
836,933,463
837,934,386
838,935,460
839,936,350
840,937,383
841,939,338
842,940,977
843,941,1272
844,942,1
845,943,68
846,944,145
847,945,2907
848,946,541
849,947,102
850,948,187
851,949,424
852,950,769
853,951,1121
854,952,400
855,953,977
856,954,426
857,955,97
858,956,1287
859,957,472
860,958,896
861,959,400
862,960,232
863,961,105
864,962,4
865,963,12
866,965,2
867,967,860
868,968,425
869,969,1
870,970,699
871,971,271
872,972,796
873,973,462
874,974,407
875,975,188
876,976,53
877,977,170
878,978,86
879,979,9
880,980,1238
881,981,826
882,982,736
883,983,583
884,984,322
885,985,334
886,986,512
887,988,166
888,989,203
889,990,111
890,991,62
891,992,232
892,993,249
893,994,8
894,995,285
895,996,129
896,997,115
897,998,44
898,999,23
